Integrais por Barra PC
Tempo;Resultado;Erro;A;B
0.118;2500;2.10701e-007;0;10
0.059;2500;4.5261e-008;0;10
0.04;2499.99;0.00999997;0;10
0.031;2499.96;0.0399997;0;10
0.024;2500;4.78794e-008;0;10
0.021;2499.96;0.0399998;0;10
0.018;2499.99;0.0100001;0;10
0.015;2500;8.22238e-008;0;10
0.014;2499.99;0.0100001;0;10
0.013;2500;1.34975e-007;0;10
0.011;2499.99;0.0100001;0;10
0.01;2499.96;0.0399999;0;10
0.01;2499.99;0.0100002;0;10
0.009;2499.92;0.0799993;0;10
0.008;2499.9;0.0999988;0;10
0.008;2500;3.23345e-007;0;10
0.007;2499.91;0.0899991;0;10
0.007;2499.9;0.0999989;0;10
0.007;2499.89;0.109999;0;10
0.006;2499.8;0.199994;0;10
0.006;2499.99;0.0100005;0;10
0.005;2499.88;0.119998;0;10
0.006;2499.94;0.0600001;0;10
0.005;2499.84;0.159997;0;10
0.005;2500;7.81865e-007;0;10
0.005;2499.86;0.139998;0;10
0.004;2499.99;0.0100009;0;10
0.004;2499.92;0.08;0;10
0.004;2499.78;0.219994;0;10
0.005;2499.9;0.0999996;0;10
0.004;2499.98;0.0200011;0;10
0.003;2499.68;0.319986;0;10
0.003;2499.99;0.0100013;0;10
0.004;2499.74;0.259991;0;10
0.004;2499.85;0.149998;0;10
0.003;2499.72;0.27999;0;10
0.003;2499.99;0.0100017;0;10
0.003;2499.7;0.299988;0;10
0.003;2499.99;0.0100019;0;10
0.003;2499.6;0.399978;0;10
0.003;2499.9;0.100001;0;10
0.003;2499.78;0.219995;0;10
0.003;2499.65;0.349984;0;10
0.003;2499.88;0.12;0;10
0.003;2499.9;0.100001;0;10
0.003;2499.94;0.0600021;0;10
0.002;2499.72;0.279991;0;10
0.003;2499.84;0.159999;0;10
0.002;2499.92;0.080002;0;10
0.003;2499.5;0.499966;0;10
0.002;2499.57;0.429976;0;10
0.003;2499.6;0.399979;0;10
0.002;2499.51;0.489967;0;10
0.002;2499.72;0.279992;0;10
0.002;2499.55;0.449973;0;10
0.002;2499.92;0.080003;0;10
0.002;2499.51;0.489968;0;10
0.003;2499.78;0.219997;0;10
0.002;2499.91;0.0900031;0;10
0.002;2499.6;0.39998;0;10
0.002;2499.73;0.269994;0;10
0.002;2499.98;0.0200047;0;10
0.002;2499.99;0.0100049;0;10
0.002;2499.36;0.639944;0;10
0.002;2499.6;0.399981;0;10
0.002;2499.66;0.339988;0;10
0.002;2499.75;0.249996;0;10
0.002;2499.4;0.599952;0;10
0.001;2499.48;0.519965;0;10
0.001;2499.5;0.499969;0;10
0.002;2499.64;0.359987;0;10
0.002;2499.36;0.639945;0;10
0.002;2499.54;0.459975;0;10
0.001;2499.62;0.379985;0;10
0.002;2499.75;0.249998;0;10
0.002;2499.32;0.679938;0;10
0.001;2499.99;0.0100074;0;10
0.002;2499.6;0.399984;0;10
0.001;2499.82;0.180003;0;10
0.001;2500;8.00096e-006;0;10
0.002;2499.45;0.549963;0;10
0.001;2499.9;0.100007;0;10
0.002;2499.84;0.160005;0;10
0.001;2499.36;0.639947;0;10
0.002;2499.4;0.599955;0;10
0.001;2499.22;0.779918;0;10
0.001;2499.78;0.220002;0;10
0.001;2499.44;0.559963;0;10
0.001;2499.15;0.849902;0;10
0.002;2499.9;0.100009;0;10
0.001;2499.99;0.0100103;0;10
0.001;2499.48;0.51997;0;10
0.002;2499.36;0.639949;0;10
0.001;2499.72;0.279999;0;10
0.001;2499.7;0.299998;0;10
0.002;2499.36;0.63995;0;10
0.001;2499.73;0.270001;0;10
0.001;2499.92;0.080011;0;10
0.002;2499.99;0.0100122;0;10
0.001;2499;0.999863;0;10
0.001;2499;0.999863;0;10
0.001;2499.06;0.93988;0;10
0.002;2499.24;0.759927;0;10
0.001;2499.6;0.39999;0;10
0.001;2499.15;0.849905;0;10
0.001;2498.98;1.01986;0;10
0.001;2499.15;0.849906;0;10
0.002;2499.72;0.280003;0;10
0.001;2499.66;0.339998;0;10
0.001;2499;0.999865;0;10
0.001;2499.99;0.0100154;0;10
0.001;2499.36;0.639954;0;10
0.001;2499.37;0.629956;0;10
0.001;2498.94;1.05985;0;10
0.001;2499.25;0.749932;0;10
0.002;2499.2;0.799921;0;10
0.001;2499.99;0.0100171;0;10
0.001;2499.32;0.679948;0;10
0.001;2499.57;0.42999;0;10
0.001;2499.6;0.399994;0;10
0.001;2499.44;0.559971;0;10
0.001;2499.12;0.879902;0;10
0.001;2499.9;0.100017;0;10
0.001;2499.36;0.639958;0;10
0.001;2498.75;1.24979;0;10
0.001;2499.36;0.639958;0;10
0.001;2499.98;0.0200201;0;10
0.001;2499.36;0.639959;0;10
0.001;2498.79;1.2098;0;10
0.001;2499.6;0.399997;0;10
0.001;2499.23;0.769933;0;10
0.001;2499;0.999872;0;10
0.001;2498.94;1.05985;0;10
0.001;2499.08;0.919895;0;10
0.001;2499.45;0.549977;0;10
0.001;2498.72;1.27978;0;10
0.001;2499.63;0.370003;0;10
0.001;2499.48;0.519983;0;10
0.001;2499.66;0.340007;0;10
0.001;2498.8;1.19981;0;10
0;2499.72;0.280013;0;10
0.001;2499.64;0.360006;0;10
0;2499.99;0.0100255;0;10
0;2499.36;0.639964;0;10
0.001;2499.2;0.79993;0;10
0.001;2499.54;0.459995;0;10
0.001;2498.94;1.05986;0;10
0.001;2498.88;1.11984;0;10
0.001;2499.39;0.609972;0;10
0.001;2499;0.999878;0;10
0;2499.22;0.779937;0;10
0;2498.56;1.43972;0;10
0.001;2498.55;1.44971;0;10
0.001;2499.22;0.779938;0;10
0.001;2499.05;0.949895;0;10
0.001;2499.6;0.400006;0;10
0.001;2499.33;0.669963;0;10
0;2499.82;0.180026;0;10
0.001;2499.51;0.489996;0;10
0.001;2500;3.20008e-005;0;10
0.001;2499.71;0.29002;0;10
0.001;2498.64;1.35976;0;10
0;2498.42;1.57966;0;10
0.001;2499.08;0.919907;0;10
0.001;2499;0.999884;0;10
0.001;2499.84;0.160031;0;10
0;2499.96;0.0400346;0;10
0.001;2499.36;0.639974;0;10
0.001;2499.73;0.270025;0;10
0.001;2499.4;0.599982;0;10
0.001;2498.37;1.62964;0;10
0;2498.36;1.63963;0;10
0.001;2499.4;0.599983;0;10
0.001;2499.78;0.220031;0;10
0;2499.5;0.500001;0;10
0.001;2498.56;1.43973;0;10
0.001;2498.73;1.2698;0;10
0.001;2498.26;1.73959;0;10
0;2498.94;1.05987;0;10
0.001;2499;0.999891;0;10
0.001;2498.44;1.55968;0;10
0;2499.08;0.919914;0;10
0.001;2499.12;0.879926;0;10
0.001;2498.56;1.43973;0;10
0;2499.25;0.749958;0;10
0.001;2499.36;0.639982;0;10
0.001;2498.89;1.10986;0;10
0;2499.72;0.280032;0;10
0.001;2499.99;0.0100446;0;10
0.001;2499.7;0.300032;0;10
0;2498.85;1.14985;0;10
0.001;2499.36;0.639985;0;10
0.001;2499.33;0.669979;0;10
0;2498.76;1.23982;0;10
0.001;2499.6;0.400024;0;10
0.001;2499.92;0.0800471;0;10
0;2499.72;0.280037;0;10
0.001;2499;0.999899;0;10
0.001;2499.75;0.25004;0;10
0;2498;1.99945;0;10
0.001;2499.75;0.250041;0;10
0.001;2499;0.999901;0;10
0;2499.78;0.220044;0;10
0.001;2498.04;1.95948;0;10
0.001;2499.9;0.100051;0;10
0;2499.24;0.759966;0;10
0.001;2498.1;1.89951;0;10
0;2498.56;1.43974;0;10
0.001;2498.56;1.43974;0;10
0.001;2498.1;1.89951;0;10
0;2499.29;0.70998;0;10
0.001;2497.92;2.07941;0;10
0.001;2498.22;1.77958;0;10
0;2498.08;1.9195;0;10
0.001;2499.65;0.350039;0;10
0;2498.64;1.35978;0;10
0.001;2499.36;0.639997;0;10
0.001;2499.66;0.340042;0;10
0;2499.54;0.460028;0;10
0.001;2499;0.99991;0;10
0;2498.04;1.95948;0;10
0.001;2498.88;1.11987;0;10
0.001;2499.32;0.679993;0;10
0;2499.36;0.640001;0;10
0.001;2499;0.999913;0;10
0;2498.24;1.7596;0;10
0.001;2499.35;0.650001;0;10
0;2497.8;2.19934;0;10
0.001;2498.14;1.85955;0;10
0.001;2498.1;1.89952;0;10
0;2499.99;0.0100667;0;10
0.001;2499.2;0.799971;0;10
0;2498.03;1.96949;0;10
0.001;2498.82;1.17986;0;10
0;2499.25;0.749985;0;10
0.001;2499.32;0.68;0;10
0;2499.03;0.969929;0;10
0;2498.38;1.61968;0;10
0.001;2499.76;0.240063;0;10
0;2498.4;1.59969;0;10
0.001;2499.09;0.909948;0;10
0;2499.44;0.560026;0;10
0.001;2499.45;0.550028;0;10
0;2499.12;0.879958;0;10
0.001;2498.45;1.54971;0;10
0;2499.9;0.100074;0;10
0.001;2498.56;1.43977;0;10
0;2499.36;0.640015;0;10
0.001;2499.84;0.160074;0;10
0;2497.5;2.49914;0;10
0;2499.84;0.160075;0;10
0.001;2499.36;0.640018;0;10
0;2498.56;1.43977;0;10
0.001;2499.98;0.0200806;0;10
0;2498.55;1.44977;0;10
0.001;2499.36;0.64002;0;10
0;2499.87;0.13008;0;10
0.001;2497.5;2.49915;0;10
0;2499.99;0.0100838;0;10
0.001;2499.6;0.40006;0;10
0;2498.91;1.08991;0;10
0.001;2497.92;2.07944;0;10
0;2499.26;0.740004;0;10
0.001;2497.68;2.31928;0;10
0;2498.45;1.54973;0;10
0.001;2498.94;1.05992;0;10
0;2499.15;0.849981;0;10
0.001;2499.08;0.919963;0;10
0;2498.73;1.26985;0;10
0.001;2498.1;1.89955;0;10
0;2499.9;0.10009;0;10
0.001;2498.72;1.27985;0;10
0;2499.99;0.0100931;0;10
0.001;2498.26;1.73964;0;10
0;2499;0.999945;0;10
0.001;2499.48;0.520055;0;10
0;2499.7;0.300082;0;10
0;2499.66;0.340079;0;10
0;2499.36;0.640036;0;10
0;2498.8;1.19988;0;10
0.001;2497.98;2.01949;0;10
0;2499.72;0.280088;0;10
0.001;2498.39;1.60971;0;10
0;2499.64;0.360081;0;10
0.001;2497.8;2.19938;0;10
0;2498.56;1.43979;0;10
0.001;2499.08;0.919976;0;10
0;2499.36;0.640042;0;10
0.001;2499.4;0.60005;0;10
0;2499.2;0.800009;0;10
0.001;2498.76;1.23988;0;10
0;2498.08;1.91955;0;10
0;2497.16;2.8389;0;10
0.001;2498.94;1.05994;0;10
0;2497.55;2.44921;0;10
0.001;2498.88;1.11992;0;10
0;2499.99;0.0101102;0;10
0.001;2497.9;2.09945;0;10
0;2498.56;1.4398;0;10
0.001;2499;0.999962;0;10
0;2499.22;0.780022;0;10
0;2499.22;0.780023;0;10
0.001;2499;0.999965;0;10
0;2498.56;1.4398;0;10
0.001;2497.9;2.09945;0;10
0;2497.02;2.97879;0;10
0.001;2498.99;1.00996;0;10
0;2497.68;2.31931;0;10
0;2499.24;0.760033;0;10
0.001;2497.5;2.49918;0;10
0;2498.65;1.34985;0;10
0.001;2499.6;0.400098;0;10
0;2497.22;2.77896;0;10
0.001;2497.76;2.23937;0;10
0;2498.1;1.89958;0;10
0;2498.24;1.75966;0;10
0.001;2498.18;1.81963;0;10
0;2497.92;2.07948;0;10
0.001;2497.46;2.53916;0;10
0;2500;0.000128001;0;10
0.001;2499.15;0.85002;0;10
0;2498.1;1.89959;0;10
0;2496.85;3.14864;0;10
0.001;2498.64;1.35985;0;10
0;2497;2.99878;0;10
0;2498.42;1.57976;0;10
0;2499.66;0.340116;0;10
0;2497.44;2.55915;0;10
0.001;2498.31;1.68971;0;10
0;2499;0.999986;0;10
0.001;2499.51;0.490101;0;10
0;2499.84;0.160134;0;10
0;2499.99;0.0101386;0;10
0.001;2499.96;0.0401392;0;10
0;2499.75;0.250131;0;10
0;2499.36;0.64008;0;10
0.001;2498.79;1.20992;0;10
0;2498.04;1.95957;0;10
0.001;2497.11;2.88889;0;10
0;2499.4;0.60009;0;10
0;2498.12;1.87962;0;10
0.001;2496.66;3.33847;0;10
0;2498.45;1.54979;0;10
0.001;2496.64;3.35845;0;10
0;2498.1;1.89961;0;10
0;2499.4;0.600096;0;10
0.001;2497.07;2.92886;0;10
0;2498.04;1.95958;0;10
0;2498.85;1.14995;0;10
0.001;2499.5;0.500116;0;10
0;2499.99;0.010154;0;10
0.001;2496.8;3.19862;0;10
0;2496.96;3.03877;0;10
0;2496.96;3.03877;0;10
0.001;2496.8;3.19862;0;10
0;2496.48;3.5183;0;10
0;2499.57;0.430132;0;10
0.001;2498.94;1.05999;0;10
0;2498.15;1.84965;0;10
0;2497.2;2.79899;0;10
0;2499.7;0.300149;0;10
0;2498.44;1.5598;0;10
0.001;2497.02;2.97883;0;10
0;2499.08;0.920039;0;10
0;2497.35;2.64911;0;10
0.001;2499.12;0.880051;0;10
0;2497.08;2.91889;0;10
0;2498.56;1.43986;0;10
0.001;2499.9;0.100169;0;10
0;2497.4;2.59916;0;10
0.001;2498.45;1.54981;0;10
0;2499.36;0.640112;0;10
0;2496.4;3.59823;0;10
0.001;2497.02;2.97884;0;10
0;2497.5;2.49924;0;10
0;2497.84;2.15948;0;10
0.001;2498.04;1.9596;0;10
0;2498.1;1.89964;0;10
0;2498.02;1.97959;0;10
0.001;2497.8;2.19945;0;10
0;2497.44;2.5592;0;10
0;2496.94;3.05878;0;10
0.001;2496.3;3.69813;0;10
0;2499.36;0.640123;0;10
0;2498.45;1.54982;0;10
0.001;2497.4;2.59917;0;10
0;2496.21;3.78803;0;10
0;2498.76;1.23996;0;10
0.001;2497.3;2.6991;0;10
0;2499.6;0.400166;0;10
0;2497.87;2.12951;0;10
0.001;2499.92;0.0801911;0;10
0;2497.92;2.07954;0;10
0;2499.72;0.280182;0;10
0;2497.45;2.54922;0;10
0;2499;1.00005;0;10
0;2496.46;3.53832;0;10
0.001;2497.76;2.23945;0;10
0;2498.94;1.06003;0;10
0;2496;3.9978;0;10
0.001;2496.93;3.06879;0;10
0;2497.74;2.25944;0;10
0.001;2498.43;1.56983;0;10
0;2499;1.00005;0;10
0;2499.45;0.55016;0;10
0.001;2499.78;0.220199;0;10
0;2499.99;0.010207;0;10
0;2496;3.99781;0;10
0.001;2495.96;4.03776;0;10
0;2499.9;0.100209;0;10
0;2499.63;0.370191;0;10
0.001;2499.24;0.760126;0;10
0;2498.73;1.26997;0;10
0;2498.1;1.89967;0;10
0.001;2497.35;2.64916;0;10
0;2496.48;3.51836;0;10
0;2499.66;0.3402;0;10
0.001;2498.56;1.43991;0;10
0;2497.34;2.65916;0;10
0;2496;3.99782;0;10
0.001;2498.75;1.24999;0;10
0;2497.18;2.81903;0;10
0;2499.72;0.280212;0;10
0.001;2497.92;2.07958;0;10
0;2496;3.99783;0;10
0;2498.22;1.77975;0;10
0.001;2496.07;3.92791;0;10
